Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2022-10-23,Leeds,Fulham,2.0,3.0,A
2022-10-23,Aston Villa,Brentford,4.0,0.0,H
2022-10-23,Wolves,Leicester,0.0,4.0,A
2022-10-23,Tottenham,Newcastle,1.0,2.0,A
2022-10-24,West Ham,Bournemouth,2.0,0.0,H
2022-10-29,Leicester,Man City,0.0,1.0,A
2022-10-29,Newcastle,Aston Villa,4.0,0.0,H
2022-10-29,Crystal Palace,Southampton,1.0,0.0,H
2022-10-29,Brighton,Chelsea,4.0,1.0,H
2022-10-29,Brentford,Wolves,1.0,1.0,D
2022-10-29,Bournemouth,Tottenham,2.0,3.0,A
2022-10-29,Fulham,Everton,0.0,0.0,D
2022-10-29,Liverpool,Leeds,1.0,2.0,A
2022-10-30,Arsenal,Nottingham Forest FC,5.0,0.0,H
2022-10-30,Man United,West Ham,1.0,0.0,H
2022-11-05,Wolves,Brighton,2.0,3.0,A
2022-11-05,Nottingham Forest FC,Brentford,2.0,2.0,D
2022-11-05,Man City,Fulham,2.0,1.0,H
2022-11-05,Leeds,Bournemouth,4.0,3.0,H
2022-11-05,Everton,Leicester,0.0,2.0,A
2022-11-06,Chelsea,Arsenal,0.0,1.0,A
2022-11-06,West Ham,Crystal Palace,1.0,2.0,A
2022-11-06,Southampton,Newcastle,1.0,4.0,A
2022-11-06,Aston Villa,Man United,3.0,1.0,H
2022-11-06,Tottenham,Liverpool,1.0,2.0,A
2022-11-12,Man City,Brentford,1.0,2.0,A
2022-11-12,West Ham,Leicester,0.0,2.0,A
2022-11-12,Tottenham,Leeds,4.0,3.0,H
2022-11-12,Nottingham Forest FC,Crystal Palace,1.0,0.0,H
2022-11-12,Liverpool,Southampton,3.0,1.0,H
2022-11-12,Bournemouth,Everton,3.0,0.0,H
2022-11-12,Newcastle,Chelsea,1.0,0.0,H
2022-11-12,Wolves,Arsenal,0.0,2.0,A
2022-11-13,Brighton,Aston Villa,1.0,2.0,A
2022-11-13,Fulham,Man United,1.0,2.0,A
2022-12-26,Brentford,Tottenham,2.0,2.0,D
2022-12-26,Southampton,Brighton,1.0,3.0,A
2022-12-26,Leicester,Newcastle,0.0,3.0,A
2022-12-26,Everton,Wolves,1.0,2.0,A
2022-12-26,Crystal Palace,Fulham,0.0,3.0,A
2022-12-26,Aston Villa,Liverpool,1.0,3.0,A
2022-12-26,Arsenal,West Ham,3.0,1.0,H
2022-12-27,Chelsea,Bournemouth,2.0,0.0,H
2022-12-27,Man United,Nottingham Forest FC,3.0,0.0,H
2022-12-28,Leeds,Man City,1.0,3.0,A
2022-12-30,West Ham,Brentford,0.0,2.0,A
2022-12-30,Liverpool,Leicester,2.0,1.0,H
2022-12-31,Wolves,Man United,0.0,1.0,A
2022-12-31,Newcastle,Leeds,0.0,0.0,D
2022-12-31,Man City,Everton,1.0,1.0,D
2022-12-31,Fulham,Southampton,2.0,1.0,H
2022-12-31,Bournemouth,Crystal Palace,0.0,2.0,A
2022-12-31,Brighton,Arsenal,2.0,4.0,A
2023-01-01,Tottenham,Aston Villa,0.0,2.0,A
2023-01-01,Nottingham Forest FC,Chelsea,1.0,1.0,D
2023-01-02,Brentford,Liverpool,3.0,1.0,H
2023-01-03,Leicester,Fulham,0.0,1.0,A
2023-01-03,Everton,Brighton,1.0,4.0,A
2023-01-03,Arsenal,Newcastle,0.0,0.0,D
2023-01-03,Man United,Bournemouth,3.0,0.0,H
2023-01-04,Southampton,Nottingham Forest FC,0.0,1.0,A
2023-01-04,Leeds,West Ham,2.0,2.0,D
2023-01-04,Crystal Palace,Tottenham,0.0,4.0,A
2023-01-04,Aston Villa,Wolves,1.0,1.0,D
2023-01-05,Chelsea,Man City,0.0,1.0,A
2023-01-12,Fulham,Chelsea,2.0,1.0,H
2023-01-13,Aston Villa,Leeds,2.0,1.0,H
2023-01-14,Man United,Man City,2.0,1.0,H
2023-01-14,Wolves,West Ham,1.0,0.0,H
2023-01-14,Nottingham Forest FC,Leicester,2.0,0.0,H
2023-01-14,Everton,Southampton,1.0,2.0,A
2023-01-14,Brighton,Liverpool,3.0,0.0,H
2023-01-14,Brentford,Bournemouth,2.0,0.0,H
2023-01-15,Newcastle,Fulham,1.0,0.0,H
2023-01-15,Chelsea,Crystal Palace,1.0,0.0,H
2023-01-15,Tottenham,Arsenal,0.0,2.0,A
2023-01-18,Crystal Palace,Man United,1.0,1.0,D
2023-01-19,Man City,Tottenham,4.0,2.0,H
2023-01-21,Liverpool,Chelsea,0.0,0.0,D
2023-01-21,West Ham,Everton,2.0,0.0,H
2023-01-21,Southampton,Aston Villa,0.0,1.0,A
2023-01-21,Leicester,Brighton,2.0,2.0,D
2023-01-21,Bournemouth,Nottingham Forest FC,1.0,1.0,D
2023-01-21,Crystal Palace,Newcastle,0.0,0.0,D
2023-01-22,Man City,Wolves,3.0,0.0,H
2023-01-22,Leeds,Brentford,0.0,0.0,D
2023-01-22,Arsenal,Man United,3.0,2.0,H
2023-01-23,Fulham,Tottenham,0.0,1.0,A
2023-02-03,Chelsea,Fulham,0.0,0.0,D
2023-02-04,Everton,Arsenal,1.0,0.0,H
2023-02-04,Wolves,Liverpool,3.0,0.0,H
2023-02-04,Man United,Crystal Palace,2.0,1.0,H
2023-02-04,Brighton,Bournemouth,1.0,0.0,H
2023-02-04,Brentford,Southampton,3.0,0.0,H
2023-02-04,Aston Villa,Leicester,2.0,4.0,A
2023-02-04,Newcastle,West Ham,1.0,1.0,D
2023-02-05,Nottingham Forest FC,Leeds,1.0,0.0,H
2023-02-05,Tottenham,Man City,1.0,0.0,H
2023-02-08,Man United,Leeds,2.0,2.0,D
2023-02-11,West Ham,Chelsea,1.0,1.0,D
2023-02-11,Southampton,Wolves,1.0,2.0,A
2023-02-11,Leicester,Tottenham,4.0,1.0,H
2023-02-11,Fulham,Nottingham Forest FC,2.0,0.0,H
2023-02-11,Crystal Palace,Brighton,1.0,1.0,D
2023-02-11,Arsenal,Brentford,1.0,1.0,D
2023-02-11,Bournemouth,Newcastle,1.0,1.0,D
2023-02-12,Leeds,Man United,0.0,2.0,A
2023-02-12,Man City,Aston Villa,3.0,1.0,H
2023-02-13,Liverpool,Everton,2.0,0.0,H
2023-02-15,Arsenal,Man City,1.0,3.0,A
2023-02-18,Aston Villa,Arsenal,2.0,4.0,A
2023-02-18,Wolves,Bournemouth,0.0,1.0,A
2023-02-18,Nottingham Forest FC,Man City,1.0,1.0,D
2023-02-18,Everton,Leeds,1.0,0.0,H
2023-02-18,Chelsea,Southampton,0.0,1.0,A
2023-02-18,Brighton,Fulham,0.0,1.0,A
2023-02-18,Brentford,Crystal Palace,1.0,1.0,D
2023-02-18,Newcastle,Liverpool,0.0,2.0,A
2023-02-19,Man United,Leicester,3.0,0.0,H
2023-02-19,Tottenham,West Ham,2.0,0.0,H
2023-02-24,Fulham,Wolves,1.0,1.0,D
2023-02-25,Newcastle,Brighton,,,
2023-02-25,West Ham,Nottingham Forest FC,4.0,0.0,H
2023-02-25,Leicester,Arsenal,0.0,1.0,A
2023-02-25,Leeds,Southampton,1.0,0.0,H
2023-02-25,Everton,Aston Villa,0.0,2.0,A
2023-02-25,Bournemouth,Man City,1.0,4.0,A
2023-02-25,Crystal Palace,Liverpool,0.0,0.0,D
2023-02-26,Tottenham,Chelsea,2.0,0.0,H
2023-03-01,Arsenal,Everton,4.0,0.0,H
2023-03-01,Liverpool,Wolves,2.0,0.0,H
2023-03-04,Man City,Newcastle,2.0,0.0,H
2023-03-04,Wolves,Tottenham,1.0,0.0,H
2023-03-04,Chelsea,Leeds,1.0,0.0,H
2023-03-04,Brighton,West Ham,4.0,0.0,H
2023-03-04,Aston Villa,Crystal Palace,1.0,0.0,H
2023-03-04,Arsenal,Bournemouth,3.0,2.0,H
2023-03-04,Southampton,Leicester,1.0,0.0,H
2023-03-05,Nottingham Forest FC,Everton,2.0,2.0,D
2023-03-05,Liverpool,Man United,7.0,0.0,H
2023-03-06,Brentford,Fulham,3.0,2.0,H
2023-03-11,Bournemouth,Liverpool,1.0,0.0,H
2023-03-11,Tottenham,Nottingham Forest FC,3.0,1.0,H
2023-03-11,Leicester,Chelsea,1.0,3.0,A
2023-03-11,Leeds,Brighton,2.0,2.0,D
2023-03-11,Everton,Brentford,1.0,0.0,H
2023-03-11,Crystal Palace,Man City,0.0,1.0,A
2023-03-12,West Ham,Aston Villa,1.0,1.0,D
2023-03-12,Man United,Southampton,0.0,0.0,D
2023-03-12,Fulham,Arsenal,0.0,3.0,A
2023-03-12,Newcastle,Wolves,2.0,1.0,H
2023-03-15,Brighton,Crystal Palace,1.0,0.0,H
2023-03-15,Southampton,Brentford,0.0,2.0,A
2023-03-17,Nottingham Forest FC,Newcastle,1.0,2.0,A
2023-03-18,Wolves,Leeds,2.0,4.0,A
2023-03-18,Southampton,Tottenham,3.0,3.0,D
2023-03-18,Brentford,Leicester,1.0,1.0,D
2023-03-18,Aston Villa,Bournemouth,3.0,0.0,H
2023-03-18,Chelsea,Everton,2.0,2.0,D
2023-03-19,Arsenal,Crystal Palace,4.0,1.0,H
2023-04-01,Man City,Liverpool,4.0,1.0,H
2023-04-01,Nottingham Forest FC,Wolves,1.0,1.0,D
2023-04-01,Crystal Palace,Leicester,2.0,1.0,H
2023-04-01,Brighton,Brentford,3.0,3.0,D
2023-04-01,Bournemouth,Fulham,2.0,1.0,H
2023-04-01,Arsenal,Leeds,4.0,1.0,H
2023-04-01,Chelsea,Aston Villa,0.0,2.0,A
2023-04-02,West Ham,Southampton,1.0,0.0,H
2023-04-02,Newcastle,Man United,2.0,0.0,H
2023-04-03,Everton,Tottenham,1.0,1.0,D
2023-04-04,Leicester,Aston Villa,1.0,2.0,A
2023-04-04,Leeds,Nottingham Forest FC,2.0,1.0,H
2023-04-04,Bournemouth,Brighton,0.0,2.0,A
2023-04-04,Chelsea,Liverpool,0.0,0.0,D
2023-04-05,West Ham,Newcastle,,,
2023-04-05,Man United,Brentford,,,
2023-04-08,Man United,Everton,,,
2023-04-08,Wolves,Chelsea,,,
2023-04-08,Tottenham,Brighton,,,
2023-04-08,Leicester,Bournemouth,,,
2023-04-08,Fulham,West Ham,,,
2023-04-08,Brentford,Newcastle,,,
2023-04-08,Aston Villa,Nottingham Forest FC,,,
2023-04-08,Southampton,Man City,,,
2023-04-09,Leeds,Crystal Palace,,,
2023-04-09,Liverpool,Arsenal,,,
2023-04-15,Aston Villa,Newcastle,,,
2023-04-15,Wolves,Brentford,,,
2023-04-15,Tottenham,Bournemouth,,,
2023-04-15,Southampton,Crystal Palace,,,
2023-04-15,Everton,Fulham,,,
2023-04-15,Chelsea,Brighton,,,
2023-04-15,Man City,Leicester,,,
2023-04-16,West Ham,Arsenal,,,
2023-04-16,Nottingham Forest FC,Man United,,,
2023-04-17,Leeds,Liverpool,,,
2023-04-21,Arsenal,Southampton,,,
2023-04-22,Fulham,Leeds,,,
2023-04-22,Liverpool,Nottingham Forest FC,,,
2023-04-22,Leicester,Wolves,,,
2023-04-22,Crystal Palace,Everton,,,
2023-04-22,Brentford,Aston Villa,,,
2023-04-22,Man United,Chelsea,,,
2023-04-23,Newcastle,Tottenham,,,
2023-04-23,Bournemouth,West Ham,,,
2023-04-23,Brighton,Man City,,,
2023-04-25,Wolves,Crystal Palace,,,
2023-04-25,Aston Villa,Fulham,,,
2023-04-25,Leeds,Leicester,,,
2023-04-26,Nottingham Forest FC,Brighton,,,
2023-04-26,Chelsea,Brentford,,,
2023-04-26,West Ham,Liverpool,,,
2023-04-26,Man City,Arsenal,,,
2023-04-27,Southampton,Bournemouth,,,
2023-04-27,Everton,Newcastle,,,
2023-04-27,Tottenham,Man United,,,
2023-04-29,Crystal Palace,West Ham,,,
2023-04-29,Brighton,Wolves,,,
2023-04-29,Brentford,Nottingham Forest FC,,,
2023-04-29,Arsenal,Chelsea,,,
2023-04-30,Newcastle,Southampton,,,
2023-04-30,Man United,Aston Villa,,,
2023-04-30,Fulham,Man City,,,
2023-04-30,Bournemouth,Leeds,,,
2023-04-30,Liverpool,Tottenham,,,
2023-05-01,Leicester,Everton,,,
2023-05-03,Man City,West Ham,,,
2023-05-03,Liverpool,Fulham,,,
2023-05-04,Brighton,Man United,,,
2023-05-06,Wolves,Aston Villa,,,
2023-05-06,Tottenham,Crystal Palace,,,
2023-05-06,Bournemouth,Chelsea,,,
2023-05-06,Liverpool,Brentford,,,
2023-05-07,Man City,Leeds,,,
2023-05-07,Newcastle,Arsenal,,,
2023-05-07,West Ham,Man United,,,
2023-05-08,Fulham,Leicester,,,
2023-05-08,Brighton,Everton,,,
2023-05-08,Nottingham Forest FC,Southampton,,,
2023-05-13,Southampton,Fulham,,,
2023-05-13,Man United,Wolves,,,
2023-05-13,Leicester,Liverpool,,,
2023-05-13,Leeds,Newcastle,,,
2023-05-13,Everton,Man City,,,
2023-05-13,Crystal Palace,Bournemouth,,,
2023-05-13,Chelsea,Nottingham Forest FC,,,
2023-05-13,Brentford,West Ham,,,
2023-05-13,Aston Villa,Tottenham,,,
2023-05-13,Arsenal,Brighton,,,
2023-05-20,Wolves,Everton,,,
2023-05-20,West Ham,Leeds,,,
2023-05-20,Tottenham,Brentford,,,
2023-05-20,Nottingham Forest FC,Arsenal,,,
2023-05-20,Newcastle,Leicester,,,
2023-05-20,Man City,Chelsea,,,
2023-05-20,Liverpool,Aston Villa,,,
2023-05-20,Fulham,Crystal Palace,,,
2023-05-20,Brighton,Southampton,,,
2023-05-20,Bournemouth,Man United,,,
2023-05-28,Southampton,Liverpool,,,
2023-05-28,Man United,Fulham,,,
2023-05-28,Leicester,West Ham,,,
2023-05-28,Leeds,Tottenham,,,
2023-05-28,Everton,Bournemouth,,,
2023-05-28,Crystal Palace,Nottingham Forest FC,,,
2023-05-28,Chelsea,Newcastle,,,
2023-05-28,Brentford,Man City,,,
2023-05-28,Aston Villa,Brighton,,,
2023-05-28,Arsenal,Wolves,,,
